--- model size ---
model: 55,192,704
======= start training =======
epoch|batch_idx/num_batches|output_dir|batch/s|lr|time|step
epoch: 73 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.016 | time: 0:03:04.4 | step: 440
epoch: 74 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.004 | time: 0:03:08.3 | step: 450
epoch: 76 |   3/  6 | logs/44k/diffusion | batch/s: 2.40 | lr: 0.0001 | loss: 0.004 | time: 0:03:12.8 | step: 460
epoch: 78 |   1/  6 | logs/44k/diffusion | batch/s: 2.49 | lr: 0.0001 | loss: 0.010 | time: 0:03:16.8 | step: 470
epoch: 79 |   5/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.053 | time: 0:03:20.7 | step: 480
epoch: 81 |   3/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.027 | time: 0:03:25.1 | step: 490
epoch: 83 |   1/  6 | logs/44k/diffusion | batch/s: 2.50 | lr: 0.0001 | loss: 0.051 | time: 0:03:29.1 | step: 500
epoch: 84 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.016 | time: 0:03:33.1 | step: 510
epoch: 86 |   3/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.016 | time: 0:03:37.6 | step: 520
epoch: 88 |   1/  6 | logs/44k/diffusion | batch/s: 2.44 | lr: 0.0001 | loss: 0.026 | time: 0:03:41.7 | step: 530
epoch: 89 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.027 | time: 0:03:45.6 | step: 540
epoch: 91 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.020 | time: 0:03:50.1 | step: 550
epoch: 93 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.011 | time: 0:03:54.2 | step: 560
epoch: 94 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.007 | time: 0:03:58.2 | step: 570
epoch: 96 |   3/  6 | logs/44k/diffusion | batch/s: 2.35 | lr: 0.0001 | loss: 0.022 | time: 0:04:02.7 | step: 580
epoch: 98 |   1/  6 | logs/44k/diffusion | batch/s: 2.47 | lr: 0.0001 | loss: 0.021 | time: 0:04:06.7 | step: 590
epoch: 99 |   5/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.005 | time: 0:04:10.6 | step: 600
epoch: 101 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.010 | time: 0:04:15.1 | step: 610
epoch: 103 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.018 | time: 0:04:19.1 | step: 620
